=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.04.16 19:42:38 =~=~=~=~=~=~=~=~=~=~=~=
        ,    -4  -4,     0,     0,     0
       243,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,    24,     0,    -4,     0,   position 4: 1701
4position 5: 1698
5## Start: 14 ####################
14, 255
13, 255
12, 1
11, 10
10, 0
9, 1
8, 0
7, 0
6, 0
5, 32
4, 0
3, 0
2, 0
1, 211
## End #####################
return: : 1024
        12,    34,   234,    34,    21
         0,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         0,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         0,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         1,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         1,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         1,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         2,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         2,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1699,    16,     0,     0,     0,     0,     0
         2,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         2,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1699,    16,     0,     0,     0,     0,     0
         3,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         3,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         3,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         4,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         4,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         4,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         4,     0,  1701,     8,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
         5,     0,  1702,    16,     0,     0,     0,     0,     0,     0,  1698,     8,     0,     0,     0,     0,     0
